nom_entreprise,domaine_activite,date_creation,forme_juridique,ville_siege,effectif,annee_effectif,capital,sites_internet,chiffre_affaires,resultat,annee_finances
COMMANDES PHARMA,Édition,2020-02-05,"SAS, société par actions simplifiée",PARIS,Entre 10 et 19 salariés,2022,49047.9,,,-2362214,2024
APTITUDE LOGICIELS,Édition,1998-01-08,"SAS, société par actions simplifiée",NANTES,Entre 10 et 19 salariés,2022,33360,,,87446,2023
MAGIC SOFTWARE ENTERPRISES (FRANCE),Édition,1994-02-10,"SAS, société par actions simplifiée",BOULOGNE-BILLANCOURT,Entre 10 et 19 salariés,2022,210000,magicsoftware.com,7175362,264931,2023
PHARMATIC,Édition,1993-03-29,"SASU, société par actions simplifiée unipersonnelle",GRABELS,Entre 10 et 19 salariés,2022,500000,pharmatic.fr,5443577,1237764,2024
HERAKLES,Édition,1990-07-01,"SAS, société par actions simplifiée",VANNES,Entre 10 et 19 salariés,2022,103000,"herakles-erp-gpao.fr, herakles.com, herakles-gpao.fr, herakles-erp.fr",1116916,109220,2022
HUB'UP,Édition,2016-02-04,"SAS, société par actions simplifiée",CHEVRY-COSSIGNY,Entre 10 et 19 salariés,2022,5000,hubup.fr,,39731,2021
AURIOR,Édition,2014-03-12,"SAS, société par actions simplifiée",PARIS,Entre 10 et 19 salariés,2022,10000,logiciel-interim.com,,28291,2023
PHILEAS SOMMELIER,Édition,2015-05-25,"SAS, société par actions simplifiée",BORDEAUX,Entre 20 et 49 salariés,2022,23501.5,somm-it.com,24046,-322786,2019
DOXENSE,Édition,1997-12-01,"SAS, société par actions simplifiée",WASQUEHAL,Entre 20 et 49 salariés,2022,2896449,"pagily.io, doxense.fr",4123218,-372067,2023
KELINDI,Édition,2020-02-10,"SAS, société par actions simplifiée",WAMBRECHIES,Entre 10 et 19 salariés,2022,17802.22,"club.heloa.app, club.bonjourmalo.fr, bonjourmalo.fr",,-960736,2023
WOLVERINE ET ASSOCIES,Édition,2018-01-08,"SAS, société par actions simplifiée",PARIS,Entre 10 et 19 salariés,2022,19231,vestijaude.fr,,,
NAXXUM,Édition,2016-01-29,"SAS, société par actions simplifiée",PUTEAUX,Entre 20 et 49 salariés,2022,86110,naxxum.com,,58077,2023
STIMIO,Édition,2014-06-23,"SAS, société par actions simplifiée",CARQUEFOU,Entre 20 et 49 salariés,2022,148414,stimio.fr,,-882457,2018
TEKION FRANCE,Édition,2022-03-21,"SAS, société par actions simplifiée",PARIS,Entre 10 et 19 salariés,2022,1,,,,
MIDDLE EARTH INITIATIVES GROUP,Édition,2013-01-12,"SAS, société par actions simplifiée",SURESNES,Entre 10 et 19 salariés,2022,102160.54,"blog.okast.tv, videos.tvmonaco.com",,,
MATA,Édition,1999-08-23,"SAS, société par actions simplifiée",STRASBOURG,Entre 10 et 19 salariés,2022,437376,mata-io.com,2726954,176622,2023
ET EULERIAN TECHNOLOGIES,Édition,2002-06-23,"SAS, société par actions simplifiée",PARIS,Entre 20 et 49 salariés,2022,257363,eulerian.com,,628298,2023
PRISMASOFT,Édition,2008-10-01,"SASU, société par actions simplifiée unipersonnelle",ELNE,Entre 10 et 19 salariés,2022,30000,prismasoft.fr,,330459,2023
SYSTEM LOG,Édition,1999-04-12,"SAS, société par actions simplifiée",TILLE,Entre 20 et 49 salariés,2022,60000,,2214710,-302638,2024
COAXIS SOFTWARE,Édition,2018-02-01,"SAS, société par actions simplifiée",FAUGUEROLLES,Entre 10 et 19 salariés,2022,50000,,,-138320,2024
ODEALE,Édition,1990-02-01,"SASU, société par actions simplifiée unipersonnelle",SAINT-CLOUD,Entre 10 et 19 salariés,2022,89200,,1422230,28857,2022
CLARISYS INFORMATIQUE,Édition,2002-04-01,"SAS, société par actions simplifiée",TOULOUSE,Entre 20 et 49 salariés,2022,150000,clarisys.fr,,569526,2023
AZAMEO,Édition,2014-02-10,"SAS, société par actions simplifiée",LE ROURET,Entre 10 et 19 salariés,2022,79180.73,azameo.com,,171641,2020
FABULOUS,Édition,2015-08-15,"SAS, société par actions simplifiée",PARIS,Entre 20 et 49 salariés,2022,2500,"thefabulous.co, thefabulous.myfreshworks.com",,,
COGIS NETWORKS,Édition,1989-06-01,"SAS, société par actions simplifiée",BOISSY-SAINT-LEGER,Entre 20 et 49 salariés,2022,300000,cogis.com,,261285,2023
EVER TEAM SOFTWARE,Édition,1999-04-01,"SAS, société par actions simplifiée",LYON,Entre 20 et 49 salariés,2022,300000,everteam.com,6410632,1257569,2024
PGI PROVENCE GRAPHISME INFORMATIQUE,Édition,2001-07-01,"SAS, société par actions simplifiée",MANOSQUE,Entre 10 et 19 salariés,2022,39000,digitec.fr,1446086,179809,2023
GUIDEWIRE SOFTWARE FRANCE,Édition,2007-02-09,"SAS, société par actions simplifiée",PARIS,Entre 20 et 49 salariés,2022,37000,ab-soft.com,14714737,491066,2024
ENTERTAINMENT LEARNING,Édition,2009-09-08,"SAS, société par actions simplifiée",PARIS,Entre 10 et 19 salariés,2022,18056,english-attack.com,,-419437,2023
ANAMNESE,Édition,2017-06-19,"SAS, société par actions simplifiée",BOURDEAUX,Entre 10 et 19 salariés,2022,54961.4,"aide.anamnese.care, medana.care",,-88023,2021
THE CROSS PRODUCT,Édition,2021-03-11,"SAS, société par actions simplifiée",AVON,Entre 10 et 19 salariés,2022,17647,thecrossproduct.com,,380787,2022
COCKPIT ITSM,Édition,2005-06-15,"SAS, société par actions simplifiée",PARIS,Entre 10 et 19 salariés,2022,100000,cockpit-itsm.com,,,
TLM COM,Édition,1998-01-22,"SAS, société par actions simplifiée",NOISY-LE-GRAND,Entre 10 et 19 salariés,2022,200000,"welrdv-mairies-cni.fr, tlmcom.fr, rendezvousonline.fr",,441817,2023
INOVATIC TECHNOLOGIES,Édition,1994-04-19,"SAS, société par actions simplifiée",VERSAILLES,Entre 10 et 19 salariés,2022,7622.45,inovatic-services.fr,479620,134787,2018
TECHNIS FRANCE,Édition,2018-08-29,"SAS, société par actions simplifiée",PARIS,Entre 10 et 19 salariés,2022,100000,technis.com,,-686029,2023
CONSULT HIGHTECH,Édition,2019-10-17,"SAS, société par actions simplifiée",PARIS,Entre 10 et 19 salariés,2022,1000,,,20422,2023
DIGIGROUP MEDIA,Édition,2018-03-29,"SAS, société par actions simplifiée",LYON,Entre 10 et 19 salariés,2022,6670,digitizme.io,,-177657,2024
SYNERTRADE FRANCE,Édition,2000-01-03,"SAS, société par actions simplifiée",PUTEAUX,Entre 20 et 49 salariés,2022,20901390.6,,10477227,-5566794,2024
OPEN PRICER,Édition,2000-09-18,"SAS, société par actions simplifiée",PARIS,Entre 10 et 19 salariés,2022,334435.5,openpricer.com,,245840,2022
AGAH,Édition,2012-12-03,SA à conseil d'administration (s.a.i.),MACON,Entre 20 et 49 salariés,2022,53170,,,259999,2024
SYDEV,Édition,1998-02-04,"SAS, société par actions simplifiée",ECHIROLLES,Entre 20 et 49 salariés,2022,250200,"tamzag.com, sydev.com",8003052,2269179,2024
ENOPTEA,Édition,2014-09-16,"SAS, société par actions simplifiée",LYON,Entre 20 et 49 salariés,2022,63287.97,enoptea.fr,2225785,1357,2023
LP LOGIPLACE,Édition,2019-02-01,"SARL, société à responsabilité limitée",ROSIERES-PRES-TROYES,Entre 10 et 19 salariés,2022,1750,logiplace.fr,,,
SQUAREMIND,Édition,2019-01-01,"SAS, société par actions simplifiée",PARIS,Entre 10 et 19 salariés,2022,10258.9,,,,
HEXATIO,Édition,2016-03-21,"SAS, société par actions simplifiée",LYON,Entre 10 et 19 salariés,2022,36000,"hexatio.fr, hexatio.com",,-294318,2023
THRASOS,Édition,2020-09-21,"SASU, société par actions simplifiée unipersonnelle",SAINT-MALO,Entre 10 et 19 salariés,2022,37381,,,,
POINT SOFT,Édition,1978-01-01,"SAS, société par actions simplifiée",BEHREN-LES-FORBACH,Entre 10 et 19 salariés,2022,152450,point-soft.fr,,14128,2023
A-SYSTEMS,Édition,2001-02-01,"SAS, société par actions simplifiée",VERSAILLES,Entre 10 et 19 salariés,2022,77440,a-systems.com,,799602,2022
EGIDIUM TECHNOLOGIES,Édition,2008-12-01,"SAS, société par actions simplifiée",SAINT-AUBIN,Entre 10 et 19 salariés,2022,189246,egidium-technologies.com,,11612,2018
ALSEVE,Édition,1994-07-01,"SARL, société à responsabilité limitée",SAINT-HERBLAIN,Entre 10 et 19 salariés,2022,7622,"alseve.net, alseve.fr",1268353,6381,2023
INEDEE,Édition,2005-10-01,"SAS, société par actions simplifiée",COLOMBES,Entre 10 et 19 salariés,2023,132000,inedee.com,2961583,170156,2023
IMDEO,Édition,2004-10-12,"SAS, société par actions simplifiée",JOUE-LES-TOURS,Entre 20 et 49 salariés,2022,150000,"imdeo.com, mdeo.fr",4834125,169322,2024
GBS GROUPE WIIISDOM SOFTWARE,Édition,2007-05-15,"SAS, société par actions simplifiée",LILLE,Entre 10 et 19 salariés,2022,122522.92,wiiisdom.com,,131244,2022
SOLUNEA,Édition,2006-01-19,"SARL, société à responsabilité limitée",NIMES,Entre 10 et 19 salariés,2022,10000,solunea.fr,,107877,2020
PIXI SOFT,Édition,1999-10-15,"SARL, société à responsabilité limitée",VINCENNES,Entre 10 et 19 salariés,2022,71610,pixisoft.com,,-227138,2023
SEPTEO SOLUTIONS CDJ,Édition,1977-01-01,"SASU, société par actions simplifiée unipersonnelle",SAINT-JULIEN-DE-CONCELLES,Entre 20 et 49 salariés,2022,112000,"softouest.fr, huisorne.com, crcj971.com",7858054,1454534,2023
KALITI,Édition,2011-12-20,"SAS, société par actions simplifiée",PARIS,Entre 20 et 49 salariés,2022,302691,kaliti.fr,3800182,-628643,2019
HERCULEPRO,Édition,2004-01-01,"SAS, société par actions simplifiée",COUERON,Entre 20 et 49 salariés,2022,120000,herculepro.com,,90173,2023
SLATE DIGITAL FRANCE,Édition,2018-10-12,"SASU, société par actions simplifiée unipersonnelle",GRENOBLE,Entre 20 et 49 salariés,2022,206522,,5715027,654119,2025
2DCOM,Édition,1998-04-29,"SARL, société à responsabilité limitée",CHAVIGNY,Entre 20 et 49 salariés,2022,100000,2dcom.fr,4278439,690237,2024
LAMSTER,Édition,2017-03-27,"SAS, société par actions simplifiée",BESANCON,Entre 10 et 19 salariés,2022,295810,lamster.fr,,194233,2024
AIRFREE,Édition,2016-02-05,"SAS, société par actions simplifiée",MONTREUIL,Entre 10 et 19 salariés,2022,224404,airfree.aero,411996,-1604651,2023
ATLIBITUM,Édition,2000-07-24,"SARL, société à responsabilité limitée",CAGNES-SUR-MER,Entre 10 et 19 salariés,2022,21508,atlibitum.com,1059579,95344,2020
SC - FORM CONCEPT,Édition,1989-01-16,"SASU, société par actions simplifiée unipersonnelle",METZ,Entre 20 et 49 salariés,2022,50000,"softconcept.fr, sc-form.com",2304261,416127,2023
OCODE,Édition,2016-10-01,"SAS, société par actions simplifiée",ROCHE SUR YON (LA),Entre 20 et 49 salariés,2022,999900,"odao.link, app-employeurprovelo.fr, ocode.fr",,-2657316,2022
SOFIA EUROPA,Édition,2017-03-28,"SAS, société par actions simplifiée",PARIS,Entre 10 et 19 salariés,2022,40000,,,-108860,2023
ACSEP SOFTWARE,Édition,2007-04-01,"SASU, société par actions simplifiée unipersonnelle",AIX-EN-PROVENCE,Entre 10 et 19 salariés,2022,296370,,,371378,2022
HUBVISOR,Édition,2017-11-07,"SAS, société par actions simplifiée",PARIS,Entre 10 et 19 salariés,2022,7925,"guce.yahoo.com, aol.com, guce.aol.com, hubvisor.io",,,
TAPNATION,Édition,2019-01-03,"SAS, société par actions simplifiée",PARIS,Entre 20 et 49 salariés,2022,2651,,,208946,2020
MICROMEDIA INTERNATIONAL,Édition,1994-09-17,"SAS, société par actions simplifiée",MEYLAN,Entre 20 et 49 salariés,2022,294988,"micromedia-int.fr, micromedia-int.com",,117795,2024
SD20,Édition,2005-01-19,"SAS, société par actions simplifiée",VERTOU,Entre 10 et 19 salariés,2022,82810,sd20.fr,1357089,51070,2024
STRATEGIES,Édition,1984-10-29,"SAS, société par actions simplifiée",RUNGIS,Entre 20 et 49 salariés,2022,630000,romans-cad.com,3805997,1581097,2024
BUILDRZ,Édition,2016-08-18,"SASU, société par actions simplifiée unipersonnelle",PARIS,Entre 20 et 49 salariés,2022,1510.8,buildrz.io,1364739,268373,2018
LOCKIMMO.COM,Édition,2006-09-12,"SARL, société à responsabilité limitée",MOUY,Entre 10 et 19 salariés,2022,103000,"lockimmo.com, etatdeslieuxfacile.fr",1787602,438117,2023
INFORMATIQUE ET PRATIQUES SOCIALES,Édition,1999-01-01,"SARL, société à responsabilité limitée",EVRY-COURCOURONNES,Entre 10 et 19 salariés,2022,133357.61,"lyon-depannage-informatique.com, dirips.com, dirips.fr",,127159,2023
EUROTEK,Édition,1997-09-01,"SAS, société par actions simplifiée",SOISY-SOUS-MONTMORENCY,Entre 10 et 19 salariés,2022,101000,eurotek-france.fr,1824421,35584,2024
FYZ SERVICES,Édition,2012-05-01,"SAS, société par actions simplifiée",NANTES,Entre 10 et 19 salariés,2022,218289.57,,,,
DIAGONAL,Édition,1991-03-01,"SAS, société par actions simplifiée",VALBONNE,Entre 10 et 19 salariés,2022,208310,prolexis.com,,144912,2021
CERBAIR,Édition,2015-06-01,"SAS, société par actions simplifiée",MONTROUGE,Entre 20 et 49 salariés,2022,40784,cerbair.com,,18831,2023
KMSE KNOWLEDGE MANAGEMENT SYSTEM EDITOR,Édition,2011-02-04,"SAS, société par actions simplifiée",SAINTE-GENEVIEVE-DES-BOIS,Entre 10 et 19 salariés,2022,10000,"kms-solutions.net, kmse-tech.com",,,
CORIM SOLUTIONS,Édition,1996-12-02,"SAS, société par actions simplifiée",FONTAINE,Entre 20 et 49 salariés,2022,1350900,corim-solutions.com,,1043346,2025
SMARTCOM,Édition,2001-01-01,"SAS, société par actions simplifiée",BIOT,Entre 10 et 19 salariés,2022,99340,smartcom.com,,,
CESYAM,Édition,1993-01-04,"EURL, entreprise unipersonnelle à responsabilité limitée",MONTROUGE,Entre 10 et 19 salariés,2022,100000,"designexpress.eu, enscape-3d.fr, cesyam.fr",4362385,634051,2023
EXTEL,Édition,1986-08-18,"SARL, société à responsabilité limitée",PARIS,Entre 10 et 19 salariés,2022,45734.7,,1906087,68537,2024
DENTALVIA-MEDILOR,Édition,2001-12-03,"SASU, société par actions simplifiée unipersonnelle",PUTEAUX,Entre 20 et 49 salariés,2022,101347,"contenus.weclever-dental.com, weclever-dental.com",1086931,-2078818,2023
SCEPIA S.C.E.P.I.A. SCE CONSEIL ETUDE PRODUIT INFORMA APPLIQ,Édition,1982-04-01,"SAS, société par actions simplifiée",AIX-EN-PROVENCE,Entre 20 et 49 salariés,2022,180000,"scepia.fr, sphinx-informatique.com",,423605,2024
FUNDVISORY,Édition,2015-10-12,"SAS, société par actions simplifiée",BUCHELAY,Entre 10 et 19 salariés,2022,27028.7,"prospeer.fr, fundvisory.com, fundvisory.fr",,271628,2023
ECILIA,Édition,2001-03-01,"SAS, société par actions simplifiée",LYON,Entre 10 et 19 salariés,2023,75000,ecilia.fr,2197168,475908,2023
QUOS GROUP,Édition,2017-04-06,"SAS, société par actions simplifiée",LE BOURGET-DU-LAC,Entre 10 et 19 salariés,2022,334551,"quosmos.fr, quos.fr",,-1538777,2023
SCIADO PARTENAIRES,Édition,2015-06-22,"SAS, société par actions simplifiée",VILLEURBANNE,Entre 20 et 49 salariés,2023,53142.83,,,78536,2023
PYXO,Édition,2018-11-12,"SAS, société par actions simplifiée",PARIS,Entre 20 et 49 salariés,2022,27940.29,pyxo.fr,,,
DORIANE,Édition,1984-11-20,"SAS, société par actions simplifiée",NICE,Entre 20 et 49 salariés,2022,523846,doriane.com,,442056,2022
H2O FINTECH,Édition,2018-12-21,"SAS, société par actions simplifiée",PARIS,Entre 10 et 19 salariés,2022,27006.3,h2ofintech.com,0,-43934,2019
VIDEOLABS,Édition,2012-12-01,"SASU, société par actions simplifiée unipersonnelle",PARIS,Entre 20 et 49 salariés,2022,1000,videolabs.io,,270556,2021
MOOJITO SAS,Édition,2018-06-06,"SAS, société par actions simplifiée",SAINT-MANDE,Entre 10 et 19 salariés,2022,1622,,10392,-20264,2019
DOCTRIO,Édition,2020-02-21,"SAS, société par actions simplifiée",SAINT-MANDE,Entre 10 et 19 salariés,2022,1407.37,doctrio.com,,-662062,2023
GALIGEO,Édition,2001-03-23,"SAS, société par actions simplifiée",PARIS,Entre 10 et 19 salariés,2022,300000.7,galigeo.com,,,
TAQT,Édition,2011-06-29,"SAS, société par actions simplifiée",LYON,Entre 10 et 19 salariés,2022,29636,taqt.com,,61954,2020
ONEUP,Édition,1995-02-01,"SAS, société par actions simplifiée",PARIS,Entre 10 et 19 salariés,2022,418543.66,,,1291636,2022
VG COMPANY,Édition,2011-09-01,"SAS, société par actions simplifiée",ROUEN,Entre 20 et 49 salariés,2022,764339.51,"ollca.com, saveursdumaine-traiteurhardy.ollca.com, boucheriemazet.ollca.com",,-335134,2016
KRAAFT,Édition,2018-12-31,"SAS, société par actions simplifiée",ORLEANS,Entre 10 et 19 salariés,2022,2278.66,,,-790789,2022
JUNE FACTORY,Édition,2017-01-23,"SASU, société par actions simplifiée unipersonnelle",LABEGE,Entre 10 et 19 salariés,2022,10000,phosforea.com,700058,-1143054,2024
KEYNEO,Édition,2007-11-28,"SAS, société par actions simplifiée",WASQUEHAL,Entre 20 et 49 salariés,2022,427000,"keyneo.ovh, keyneosoft.fr, keyneo.com",2133415,197578,2023
SAS GESTION ET INGENIERIE INFORMATIQUE,Édition,1992-09-04,"SAS, société par actions simplifiée",BOUILLARGUES,Entre 10 et 19 salariés,2022,40000,giinfo.com,,729018,2024
CIMBA DIGITAL CONSTRUCTION SOLUTIONS,Édition,2018-10-15,"SAS, société par actions simplifiée",MORESTEL,Entre 20 et 49 salariés,2023,992211.66,reha360.fr,,-1384729,2024
YANSYS,Édition,2006-01-18,"SAS, société par actions simplifiée",VICHY,Entre 10 et 19 salariés,2022,142500,yansys-medical.fr,,244104,2023
BE YS TRUSTED SOLUTIONS FRANCE,Édition,2019-05-17,"SASU, société par actions simplifiée unipersonnelle",PARIS,Entre 20 et 49 salariés,2022,5000,be-ys-trusted-solutions.com,8002974,-3910520,2024
OTIPASS,Édition,2010-12-01,"SAS, société par actions simplifiée",MONTBOUCHER-SUR-JABRON,Entre 10 et 19 salariés,2022,642000,"pass-france.com, otipass.com",,63089,2024
AVA FRANCE,Édition,2017-04-24,"SASU, société par actions simplifiée unipersonnelle",PARIS,Entre 20 et 49 salariés,2022,100,,,,
DYNAS +,Édition,2012-01-05,"SAS, société par actions simplifiée",TOULOUSE,Entre 20 et 49 salariés,2022,100000,dynasplus.com,,310421,2024
LAINX,Édition,1996-02-01,"SAS, société par actions simplifiée",DARDILLY,Entre 20 et 49 salariés,2022,195439.64,"youdoc.fr, groupe-t2i.com",6925216,-190111,2024
CITOPIA,Édition,2018-06-01,"SASU, société par actions simplifiée unipersonnelle",SAINT-MARTIN-SUR-LE-PRE,Entre 20 et 49 salariés,2022,943750,communicity.fr,1098721,-182464,2024
CII INDUSTRIELLE CONCEPTION INGENIERIE INFORMATIQUE INDUSTRIELLE,Édition,1990-08-01,SA à conseil d'administration (s.a.i.),LE MANS,Entre 10 et 19 salariés,2022,70380.56,cii-telecom.fr,,,
SYMALEAN,Édition,2013-01-10,"SAS, société par actions simplifiée",LES ACHARDS,Entre 20 et 49 salariés,2022,145490,symalean.com,,-44583,2024
APPS PANEL,Édition,2012-03-15,"SAS, société par actions simplifiée",LYON,Entre 20 et 49 salariés,2022,140000,"nomeo.fr, appspanel.com",,102135,2024
KNOWLLENCE,Édition,2006-12-19,"SARL, société à responsabilité limitée",VAL D'USIERS,Entre 20 et 49 salariés,2022,572403,"knowllence.com, medical-device-suite.com, tdc.fr, robust-engineering-suite.com",3211797,330996,2024
EDICADSMART,Édition,2019-12-01,"SAS, société par actions simplifiée",FONTANES,Entre 10 et 19 salariés,2022,1000,smart.edicad.com,311662,-51776,2023
CLOUD SOLUTIONS,Édition,2010-12-06,"SAS, société par actions simplifiée",PARIS,Entre 20 et 49 salariés,2022,138352.5,"cloud-solutions.fr, cloudsolutions.fr",,,
TRIBUN HEALTH,Édition,2011-12-05,"SAS, société par actions simplifiée",PARIS,Entre 20 et 49 salariés,2023,394370,"teleslide.com, tribun.health",,3129,2018
ENOGRID,Édition,2018-12-10,"SAS, société par actions simplifiée",ORLEANS,Entre 10 et 19 salariés,2022,19831,"monenergiecollective.fr, enogrid.com, preprod.enogrid.com",,-317883,2024
FORUM SIRIUS,Édition,2010-05-25,"SARL, société à responsabilité limitée",SAINT-GERMAIN-EN-LAYE,Entre 10 et 19 salariés,2022,455000,"rog-forum.asus.com, melb-shuffle.forums-actifs.net, guildepara.forum-actif.eu",2113747,36019,2021
AGORA PLUS,Édition,2005-01-01,"SARL, société à responsabilité limitée",MALAKOFF,Entre 10 et 19 salariés,2022,7500,agoraplus.fr,,666545,2022
AREAL,Édition,1989-02-01,"SAS, société par actions simplifiée",FORBACH,Entre 20 et 49 salariés,2022,240400,"areal-topkapi.com, topkapi-scada.com",,1515248,2022
E-GEE SA,Édition,2003-07-01,"SAS, société par actions simplifiée",MONTBONNOT-SAINT-MARTIN,Entre 20 et 49 salariés,2022,3000000,"pracdis.com, egee.fr",5799386,-1477731,2023
TURFU SAS,Édition,2018-01-09,"SAS, société par actions simplifiée",PARIS,Entre 10 et 19 salariés,2022,6917.7,lettria.com,,,
THERENVA,Édition,2007-10-10,"SAS, société par actions simplifiée",RENNES,Entre 20 et 49 salariés,2022,40000,,,1278422,2023
YPRESIA,Édition,2011-01-26,"SARL, société à responsabilité limitée",ORVAULT,Entre 10 et 19 salariés,2022,31500,"ypresia.com, ypresia.fr",,189085,2024
MHCOMM,Édition,2010-05-25,"SAS, société par actions simplifiée",TOULOUSE,Entre 10 et 19 salariés,2022,325020,mhcomm.fr,,146009,2023
MYDATAMODELS,Édition,2018-03-01,"SAS, société par actions simplifiée",VALBONNE,Entre 20 et 49 salariés,2022,772398.74,mydatamodels.com,591808,-1996899,2022
MAYDAY,Édition,2020-01-03,"SAS, société par actions simplifiée",BOULOGNE-BILLANCOURT,Entre 20 et 49 salariés,2023,7569.06,"getmayday.fr, mayday.fr",,248930,2023
ADCIS,Édition,1995-07-06,"SAS, société par actions simplifiée",SAINT-CONTEST,Entre 10 et 19 salariés,2022,113560,adcis.net,828118,338524,2022
FONDATION JEUNESSE AVENIR ENTREPRISE,Édition,1990-02-01,Fondation,LYON,Entre 10 et 19 salariés,2022,,"fondation-jae.org, pilot-emploi.fr, parcoureo.fr",,,
VALUES ASSOCIATES,Édition,2007-01-05,"SAS, société par actions simplifiée",PARIS,Entre 10 et 19 salariés,2022,77000,,,6318,2022
PLANVIEW,Édition,2002-08-01,"SAS, société par actions simplifiée",BOULOGNE-BILLANCOURT,Entre 20 et 49 salariés,2022,50000,,5059314,-138360,2024
SIFFLET,Édition,2021-06-29,"SAS, société par actions simplifiée",PARIS,Entre 20 et 49 salariés,2022,2502.3,,,,
SPHERE INFORMATIQUE,Édition,1987-09-07,"SAS, société par actions simplifiée",GRADIGNAN,Entre 10 et 19 salariés,2022,51600,,430913,-1829,2021
KARBONCHAIN,Édition,2020-03-18,"SAS, société par actions simplifiée",PARIS,Entre 10 et 19 salariés,2022,14318.89,"aktio.cc, phimeca.aktio.cc",,179517,2024
CLEOP,Édition,2012-07-01,"SARL, société à responsabilité limitée",NANTES,Entre 10 et 19 salariés,2022,40000,,,81622,2024
DGSYS,Édition,2012-03-01,"SARL, société à responsabilité limitée",NANTES,Entre 10 et 19 salariés,2022,115000,dgsys.fr,,132393,2024
KIDS MBA,Édition,2015-08-17,"SAS, société par actions simplifiée",BESANCON,Entre 10 et 19 salariés,2022,13820,"se.holyowly.com, holyowlymaths.fr, holyowlymath.fr",683113,1084805,2024
SIG IMAGE,Édition,1993-07-13,"SAS, société par actions simplifiée",BIDART,Entre 20 et 49 salariés,2022,100000,"dictservices.fr, sig-image.fr",,410893,2024
NEWTECH INTERACTIVE,Édition,1993-10-15,SA à conseil d'administration (s.a.i.),TOULOUSE,Entre 10 et 19 salariés,2022,466991.28,"newtech.fr, apsem-formation.fr, katia-medium-spirit.fr, hone.fr",,-7619,2024
METAL WORK FRANCE,Édition,1985-02-04,"SAS, société par actions simplifiée",SAINT-THIBAULT-DES-VIGNES,Entre 10 et 19 salariés,2022,300000,metalwork.fr,6278011,577017,2024
ITM INFORMATIQUE TECHNIQUE ET MAINTENANCE,Édition,1990-10-01,"SARL, société à responsabilité limitée",MOUVAUX,Entre 10 et 19 salariés,2022,25000,"itm.fr, mistermaintfusion.com",2532505,470425,2024
3 V FINANCE,Édition,1986-06-29,SA à conseil d'administration (s.a.i.),PARIS,Entre 20 et 49 salariés,2022,44000,3vfinance.com,5164822,65564,2024
E-OBS TECHNOLOGIES,Édition,2009-12-15,"SARL, société à responsabilité limitée",ROANNE,Entre 10 et 19 salariés,2022,6080,"e-obs.fr, memoryflow.fr, skara.fr",,100747,2025
WISER SOLUTIONS SAS,Édition,2004-06-01,"SASU, société par actions simplifiée unipersonnelle",BOULOGNE-BILLANCOURT,Entre 20 et 49 salariés,2022,275382.84,workit-software.com,7274764,-9488935,2023
SESCOI INTERNATIONAL,Édition,1987-02-16,"SAS, société par actions simplifiée",CHARNAY-LES-MACON,Entre 10 et 19 salariés,2022,7024464,vero-software.fr,10455880,4381687,2023
REQUEST FINANCE,Édition,2020-01-01,"SAS, société par actions simplifiée",SAINT-JULIEN-EN-GENEVOIS,Entre 10 et 19 salariés,2022,1598.85,request.finance,,45625,2021
RAISE PARTNER,Édition,2001-07-16,"SAS, société par actions simplifiée",GRENOBLE,Entre 20 et 49 salariés,2022,412819.8,raisepartner.com,,191641,2024
DILUZ,Édition,2014-06-06,"SAS, société par actions simplifiée",CHANTEPIE,Entre 10 et 19 salariés,2022,150300,,,,
WEEKERA,Édition,2022-01-13,"SAS, société par actions simplifiée",NIMES,Entre 20 et 49 salariés,2023,146041,weekera.fr,,,
JOBPASS,Édition,2021-07-02,"SAS, société par actions simplifiée",LAVAL,Entre 20 et 49 salariés,2022,1750,jobpass.com,,-163040,2022
FUZZY LOGIC ROBOTICS,Édition,2018-01-22,"SAS, société par actions simplifiée",PARIS,Entre 10 et 19 salariés,2022,7313.1,,,-1423556,2024
QUALITADD,Édition,2016-07-26,"SAS, société par actions simplifiée",BOULOGNE-BILLANCOURT,Entre 10 et 19 salariés,2022,1131772.95,qualitadd.com,,2304,2020
KIZEO,Édition,2011-10-10,"SAS, société par actions simplifiée",AVIGNON,Entre 20 et 49 salariés,2022,80000,kizeo-forms.com,,3549877,2024
CORSAIR GAMING S.A.S.,Édition,2018-06-29,"SAS, société par actions simplifiée",PARIS,Entre 10 et 19 salariés,2022,10000,,2379394,70157,2023
YZR,Édition,2018-10-01,"SAS, société par actions simplifiée",SAINT-MANDE,Entre 20 et 49 salariés,2022,19672.16,yzr.ai,,-3391730,2022
XYRIC,Édition,1986-12-15,"SAS, société par actions simplifiée",QUETIGNY,Entre 10 et 19 salariés,2022,40000,xyric.com,,-9058,2020
VOLUME SOFTWARE,Édition,1982-06-08,"SASU, société par actions simplifiée unipersonnelle",TOURS,Entre 20 et 49 salariés,2022,504000,"volume-software.com, directplanning.com",,538582,2023
VIDEORUNRUN,Édition,2020-12-08,"SAS, société par actions simplifiée",BRETIGNOLLES-SUR-MER,Entre 10 et 19 salariés,2022,2729912,videorunrun.com,1315602,-1067323,2022
THE BOXOFFICE COMPANY FRANCE,Édition,2010-12-13,"SAS, société par actions simplifiée",LEVALLOIS-PERRET,Entre 20 et 49 salariés,2022,2075620,"company.boxoffice.com, cotecinegroup.fr, boxofficepro.com",4810510,-184075,2021
