nom_entreprise,domaine_activite,date_creation,forme_juridique,ville_siege,effectif,annee_effectif,capital,sites_internet,chiffre_affaires,resultat,annee_finances
AVOB ALTERNATIVE VISION OF BUSINESS,Édition,2009-03-27,"SAS, société par actions simplifiée",BOULOGNE-BILLANCOURT,Entre 10 et 19 salariés,2022,417970,avob.com,,-683951,2017
REALCAST,Édition,2017-07-12,"SAS, société par actions simplifiée",ISSY-LES-MOULINEAUX,Entre 10 et 19 salariés,2022,50193,realcast.io,,183184,2024
LIMSEO,Édition,2013-07-23,"SARL, société à responsabilité limitée",CHANOS-CURSON,Entre 10 et 19 salariés,2022,200000,limseo.eu,,196085,2024
SKOPAI,Édition,2017-07-01,"SAS, société par actions simplifiée",SAINT-MARTIN-D'HERES,Entre 10 et 19 salariés,2022,60028,,,-393589,2022
DLM SOFT ( DEVELOPP LOGICIEL METIER ),Édition,2005-04-15,"SAS, société par actions simplifiée",CHATENOY-EN-BRESSE,Entre 10 et 19 salariés,2023,50000,,,92660,2025
WAAPI,Édition,2018-07-02,"SAS, société par actions simplifiée",MONTPELLIER,Entre 20 et 49 salariés,2022,229607.5,"waalaxy.com, blog.waalaxy.com",,1139506,2024
VERSA,Édition,2008-04-01,"SAS, société par actions simplifiée",SAINT RENAN,Entre 10 et 19 salariés,2022,50000,,,253482,2024
MEDGICGROUP,Édition,2009-05-01,"SAS, société par actions simplifiée",CAEN,Entre 10 et 19 salariés,2022,801809.2,medgicnet.com,848838,-665423,2022
DICSIT DEVELOPPEMENT INGENIERIE & CONCEPTION DE SYSTEMES D'INFORMATION EN INFORMATIQUE,Édition,1995-03-16,"SAS, société par actions simplifiée",VILLERS-LES-NANCY,Entre 20 et 49 salariés,2022,50000,"dicsit.com, attentum.fr",7071693,2397344,2024
ARCADE,Édition,1993-07-01,"SAS, société par actions simplifiée",SAINT-THIBERY,Entre 20 et 49 salariés,2022,100000,arcade.fr,1520373,11233,2023
MEDXSOFT,Édition,1985-04-01,"SASU, société par actions simplifiée unipersonnelle",MERIGNAC,Entre 10 et 19 salariés,2022,39197.04,"medxsoft.com, penaranda.fr, mes-resultats.fr",2204584,301861,2024
BK ASSURANCE,Édition,1989-10-02,"SAS, société par actions simplifiée",LE MANS,Entre 20 et 49 salariés,2022,40000,bk-consulting.com,2895590,49974,2024
A PROPOS,Édition,1988-01-01,"EURL, entreprise unipersonnelle à responsabilité limitée",AIMARGUES,Entre 10 et 19 salariés,2022,5411.94,"escrim.org, apropos-medical.com",1289133,108552,2024
CEO-VISION,Édition,2011-10-01,"SASU, société par actions simplifiée unipersonnelle",ARCHAMPS,Entre 10 et 19 salariés,2022,33380,hebi.fr,,60073,2024
AVANTI TECHNOLOGIES,Édition,1999-03-08,"SARL, société à responsabilité limitée",SAINT-OUEN-SUR-SEINE,Entre 10 et 19 salariés,2022,400000,avanti-technologies.fr,1125828,18475,2019
AMBIN INFORMATIQUE,Édition,2006-03-16,"SARL, société à responsabilité limitée",SAINT-AVERTIN,Entre 10 et 19 salariés,2022,50000,"ambin.fr, kata-judo.fr",686552,17591,2024
NEEVA,Édition,2005-10-10,"SAS, société par actions simplifiée",BORDEAUX,Entre 10 et 19 salariés,2022,340000,"neevagroup.com, ww12.neeva.com",,967854,2024
SIGEC SOCIETE D INFORMATIQUE DE GESTION ET DE COMMUNICATION,Édition,1985-05-31,Autre SA coopérative à conseil d'administration,AUBAGNE,Entre 20 et 49 salariés,2022,252984,sigec.fr,2741281,341111,2024
